"","logFC","logCPM","PValue","FDR"
"Potri.004G168500",0.530896939885437,6.64168103547104,0.156722221246377,0.242557486991993
"Potri.014G130300",-0.609713554960182,6.27371448939452,0.156834502314908,0.242682736488882
"Potri.019G049300",0.39532519484043,5.68729374348078,0.157059929262242,0.242982980709525
"Potri.011G168600",-0.429581690079847,6.37718785244407,0.157155193035089,0.243081773399598
"Potri.010G199600",0.460690142285964,6.47283978607094,0.15735578266159,0.243343408151989
"Potri.006G127100",-0.410941742602212,5.9082268221532,0.157687601034417,0.24378909565472
"Potri.014G074700",-0.451881596768827,6.58155333310521,0.157746201905914,0.24378909565472
"Potri.010G240000",-0.464632896322226,5.41705097600994,0.157769971593604,0.24378909565472
"Potri.001G266700",-0.454081560044321,5.41483052498248,0.157769971593604,0.24378909565472
"Potri.012G044300",0.519897567162641,5.53951500254508,0.157814440672888,0.243809135889851
"Potri.010G208300",-0.580472000391486,7.1699986376839,0.157955749869353,0.243978747553142
"Potri.006G014400",-0.479301021892918,5.23734143545166,0.158221229608007,0.244193881787832
"Potri.002G177600",-0.473009389259893,5.2458881734907,0.158221229608007,0.244193881787832
"Potri.001G316400",-0.472299388406137,5.2333635606961,0.158221229608007,0.244193881787832
"Potri.018G074100",-0.454569564475064,5.24035295226472,0.158221229608007,0.244193881787832
"Potri.003G217200",-0.463241628814175,6.90220773863498,0.158367927071571,0.244371562108046
"Potri.006G228800",-0.596350029040009,8.25964174149483,0.158404636563187,0.244379487143525
"Potri.012G004400",-0.456880506337986,5.88269885596411,0.158449938708093,0.244400662734285
"Potri.017G093600",0.449737532317101,6.40339155388696,0.158780599676539,0.244844134506555
"Potri.005G256000",-0.503237279854098,8.55003158704684,0.158800717729058,0.244844134506555
"Potri.004G195300",0.403940089820869,5.76459048377041,0.159188368984412,0.245392944819627
"Potri.005G056100",0.49988699574999,5.88907505310463,0.159358370999254,0.245606091504226
"Potri.014G016600",0.444931943917235,6.77798918791026,0.159660450463973,0.246022673022328
"Potri.004G229900",-0.430471340404465,6.23189064821463,0.159772079530805,0.246145679850404
"Potri.004G092100",-0.4303636216838,5.68711602485187,0.160122431980206,0.246636342990408
"Potri.005G217500",0.423457294290466,6.05926039550503,0.160191666040976,0.246693890799274
"Potri.003G180700",0.432853229875519,5.83694094268487,0.1609627244564,0.247832004633486
"Potri.018G076200",0.443521682865969,6.80887699777618,0.161051208116935,0.247918924189554
"Potri.001G330200",0.4450017166269,5.633532435511,0.161546810968159,0.248632395484898
"Potri.010G152400",0.38280246505778,5.70840144117992,0.161690560136953,0.248804162119288
"Potri.004G226600",-0.428807889266514,6.2167978541499,0.161924593552354,0.249114759311314
"Potri.005G232100",-0.422351337010827,5.85833510183173,0.162062710252317,0.24921029536514
"Potri.016G116200",-0.465107810342821,5.44443797942454,0.162115482837659,0.24921029536514
