,logFC,logCPM,PValue,FDR
Potri.013G141900,-2.893271297,5.061545055,2.63E-12,5.27E-11
Potri.012G102200,1.899478512,6.189680562,2.67E-12,5.34E-11
Potri.001G164300,-2.673154332,5.226532373,2.94E-12,5.86E-11
Potri.011G087200,-1.482182213,8.695080242,3.03E-12,6.02E-11
Potri.003G059700,-2.307079481,5.442709737,3.09E-12,6.13E-11
Potri.006G195100,-2.235139129,5.4799791,3.28E-12,6.49E-11
Potri.014G095100,-3.74768428,4.712863744,3.33E-12,6.57E-11
Potri.001G068100,-2.579853845,5.264110228,3.45E-12,6.79E-11
Potri.012G091200,-1.596680454,6.227383615,3.73E-12,7.31E-11
Potri.002G107800,-1.612762472,6.293075949,3.83E-12,7.50E-11
Potri.018G102800,1.483349945,6.376553583,4.54E-12,8.86E-11
Potri.004G140600,1.401670451,7.252439451,4.91E-12,9.56E-11
Potri.005G250700,2.204599763,5.682857158,5.28E-12,1.02E-10
Potri.T040800,-2.004197759,5.708002959,5.65E-12,1.09E-10
Potri.001G375400,-1.805181889,5.927673991,5.77E-12,1.11E-10
Potri.003G037800,2.049838561,5.681166293,5.79E-12,1.11E-10
Potri.013G119400,-1.644737994,6.136136895,5.85E-12,1.12E-10
Potri.002G100600,-2.792404715,5.092103175,5.95E-12,1.14E-10
Potri.008G141000,1.734406272,6.023411986,6.35E-12,1.21E-10
Potri.002G111900,-2.105493373,6.220903147,8.32E-12,1.58E-10
Potri.006G015000,1.897426653,5.874108675,9.20E-12,1.75E-10
Potri.003G072700,2.24924788,5.784550571,9.99E-12,1.89E-10
Potri.016G036600,-2.743325002,5.091951332,1.04E-11,1.96E-10
Potri.015G002200,1.832773579,7.499905666,1.05E-11,1.98E-10
Potri.017G046800,1.740436998,5.989571159,1.07E-11,2.02E-10
Potri.016G008500,-1.536150549,6.312589919,1.08E-11,2.03E-10
Potri.004G051500,1.558223097,11.36904341,1.12E-11,2.10E-10
Potri.006G109600,2.492444122,5.276066205,1.27E-11,2.38E-10
Potri.002G034400,-1.512486054,8.794135478,1.31E-11,2.43E-10
Potri.006G101500,-1.566780804,7.516260896,1.31E-11,2.43E-10
Potri.002G020500,2.023541612,8.718616699,1.31E-11,2.43E-10
Potri.014G157500,1.854829211,5.902125068,1.37E-11,2.53E-10
Potri.006G008500,-1.942700151,5.716416325,1.39E-11,2.57E-10
Potri.011G122700,-2.180180924,5.441658504,1.49E-11,2.74E-10
Potri.011G064700,-2.187556487,5.481379195,1.54E-11,2.81E-10
Potri.004G012100,-1.527714191,6.983010544,1.60E-11,2.93E-10
Potri.014G053900,-1.441219412,7.302157409,1.62E-11,2.95E-10
