rxn	LB	min	max	UB	ModelStat	SolveStat
RXN_RXN_9627_x__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN66_526_c__L___LIGHT	0.00000000	0.00000000	417.68364669	10000.00000000	        1.00	        1.00
RXN_Trans_ribulose_phosphates_er__L___LIGHT	-10000.00000000	0.00000000	417.68364669	10000.00000000	        1.00	        1.00
RXN_PRPPAMIDOTRANS_RXN_m__L___LIGHT	-10000.00000000	0.00000000	0.00000000	0.00000000	        1.00	        1.00
RXN_RXN0_5185_er__L___LIGHT	0.00000000	0.00000000	417.68364669	10000.00000000	        1.00	        1.00
RXN_PHOSPHOENOLPYRUVATE_PHOSPHATASE_RXN_er__L___LIGHT	0.00000000	0.00000000	104.42091167	10000.00000000	        1.00	        1.00
RXN_PROTOPORGENOXI_RXN_m__L___LIGHT	0.00000000	0.00000000	3048.53744386	10000.00000000	        1.00	        1.00
RXN_1_6_5_4_RXN_x__L___LIGHT	0.00000000	0.00000000	73.40240995	10000.00000000	        1.00	        1.00
RXN_PHOSPHOENOLPYRUVATE_PHOSPHATASE_RXN_g__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_14973_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_12914_x__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_9623_x__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_2_7_7_1_RXN_er__L___LIGHT	-10000.00000000	0.00000000	104.42091167	10000.00000000	        1.00	        1.00
RXN_R08178_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_xenobiotic_g__L___LIGHT	-10000.00000000	-417.68364669	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_8317_x__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_ttp_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_hydrogen_peroxide_g__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_8316_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_THRESYN_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_PHOSPHATIDATE_PHOSPHATASE_RXN_1O_2P_glycerol_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_ACETATE__COA_LIGASE_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_9539_m__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_FPPSYN_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_MR01144_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_GLY3KIN_RXN_er__L___LIGHT	0.00000000	0.00000000	417.68364669	10000.00000000	        1.00	        1.00
RXN_3_1_2_14_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_2183_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_5_1_2_3_RXN_c__L___LIGHT	-10000.00000000	-558.40943057	10000.00000000	10000.00000000	        1.00	        1.00
RXN_RXN0_3_c2p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_PGLUCISOM_RXN_c__L___LIGHT	-10000.00000000	-4999.76681129	52.44364454	10000.00000000	        1.00	        1.00
RXN_CINNAMYL_ALCOHOL_DEHYDROGENASE_RXN_c__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_CELLULOSE_SYNTHASE_UDP_FORMING_RXN_c__L___LIGHT	0.00000000	0.00000000	5.22104558	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_67_g__L___LIGHT	-10000.00000000	6.07903602	42.66091144	10000.00000000	        1.00	        1.00
RXN_Trans_acetylserine_g__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__L___LIGHT	0.00000000	0.00000000	417.68364669	10000.00000000	        1.00	        1.00
